,logFC,logCPM,F,PValue,FDR
HLA-DRB1,2.567649922120996,7.8742307748431895,2387.8929312361765,1.307668320103957e-125,6.134272089607663e-122
HLA-DRB5,2.4220158009358292,6.339267012631562,522.8936918382783,8.875250217304904e-62,1.387793292312577e-58
HLA-DRA,2.371843262944093,7.273370724113699,476.7612722391461,1.3086174149200276e-58,1.5346810733474624e-55
HLA-DQA1,1.3138698747226187,5.383276476422485,127.01297556162518,7.699382936070077e-24,3.009817112758728e-21
CHI3L2,1.1481260548328058,4.521637859285214,93.39018400939067,7.625220638683432e-19,1.3757657698486146e-16
HLA-DQB1,1.1318683018751279,6.0660953376443425,202.9618121288206,1.2206075153994175e-33,7.1573373184233345e-31
PDLIM1,1.0520298455026411,4.30393344217702,74.88020972292101,7.246685528493133e-16,8.29126873516129e-14
HLA-DMA,1.0443319458071645,5.5163019232376165,157.3265281503193,5.693900642661593e-28,2.9677875460806143e-25
HLA-DMB,1.0325058509269436,4.107511686483055,73.8626897777367,9.822611831314911e-16,1.0970921928737678e-13
PRSS23,1.0213277762987962,5.69968500367647,94.04429014765483,5.490104742697418e-19,1.0301632539197434e-16
HLA-DQA2,0.9773753226122445,4.917528699701857,22.343296103463825,3.927113509531003e-06,7.707987227284492e-05
FCGR3A,0.9653546871386091,6.89646301007377,91.021384321053,1.8589949988226205e-18,3.114480549813183e-16
CD74,0.9501418350432409,9.363586971890612,369.97546566013506,2.7826132482592708e-50,2.610647749516848e-47
FABP5,0.9398801347529826,4.698857222907759,92.84557574601276,9.506356805149354e-19,1.6516414730724302e-16
GZMB,0.9275258207763446,8.776096259548385,119.93386287134852,7.580657359329608e-23,2.2225539795384494e-20
CX3CR1,0.9187696439767,4.735767622462092,35.25661171312225,9.66919402285954e-09,3.436226451608644e-07
HLA-DPA1,0.9075998256098626,7.873173649991237,284.5001005415916,1.8912027197100112e-42,1.478605326359944e-39
LAIR2,0.8746452381258727,5.535580861910401,32.702252266762386,3.21840482789247e-08,1.0065024698429051e-06
CD160,0.8711399439558427,5.937819875582769,77.55178427656418,2.849777764165885e-16,3.5179756557110965e-14
RGS1,0.8404737888908483,6.119095353326884,27.06778287538117,4.270090993283371e-07,1.043281085911057e-05
GZMH,0.8117568872220964,9.967064003646387,121.88094228047767,3.94716287069304e-23,1.2344094017614034e-20
HLA-DPB1,0.782952694650879,8.364109199751166,276.6650834839893,1.1382626743962409e-41,7.627986007989665e-39
FGFBP2,0.7361860511413332,8.929496007926232,69.91816364989512,5.337975090765357e-15,5.110294112404141e-13
IFNG,0.7152238794834718,5.718701626187952,19.534059680530362,1.508548445236075e-05,0.0002500565638375416
KLRC2,0.6939232088455979,5.455675103504809,17.257642392309176,4.569055283918226e-05,0.0006597933278383099
PTTG1,0.693886417155419,4.556293030758453,43.22612137574414,3.057373383670474e-10,1.4060874180395183e-08
LILRB1,0.6834779293663248,4.462806751283327,27.460535650821093,3.420882246244336e-07,8.581475196327369e-06
COTL1,0.6828696714518535,7.80757339770444,99.69601720729385,8.110526120165293e-20,1.729385364986154e-17
GPR56,0.6815291969496713,5.918315692157854,37.03317745353969,4.646742303992759e-09,1.7578925925830672e-07
TTC38,0.6730966333033878,5.712616089685372,43.231662349226575,3.087337541208066e-10,1.4060874180395183e-08
ASCL2,0.6479187560771642,5.726527661298429,34.0224130519725,1.7699412680138824e-08,5.888506729257534e-07
RP11-81H14.2,0.6446814525378324,4.51773904165963,24.51946218520774,1.3608901655637404e-06,2.9419058832532288e-05
CEP78,0.6440604869828794,5.849232338521623,63.634773212134895,6.493395066298263e-14,4.993527255082812e-12
CES1,0.6403434260464276,5.039799450932154,22.40186507796132,3.762231457702791e-06,7.415389818522602e-05
TOX,0.6305554053969614,4.367839650707145,28.965451146322934,1.7439991337709436e-07,4.648352236658805e-06
GZMK,0.6170090418009608,8.983276880550617,32.62702669789057,3.336643687359614e-08,1.0297497064081546e-06
LGALS1,0.6142275854649268,9.003275656084519,78.87575475783714,1.6895200652727785e-16,2.1420374665390824e-14
CCL3,0.596833806998824,6.366749195612616,22.186704175498903,4.223828947726465e-06,8.187595699911094e-05
RP11-25K19.1,0.5615796638613076,4.208554941155917,20.333940602979965,1.0049179713320805e-05,0.0001758981419223429
PROK2,0.5546814052141281,3.960201113146112,7.3396587353074825,0.007151425321489106,0.04373837833520912
PRF1,0.5544205009369781,8.090166374039661,47.82415103527316,4.312162768582508e-11,2.247595060824505e-09
