"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,2.40077730659185e-09,6250,252,129,0.511904761904762,0.02064,"GO:0048518","GO:BP","positive regulation of biological process",21031,13226,"GO:0008150, GO:0050789"
"query_1",TRUE,5.59662278275868e-09,5717,252,120,0.476190476190476,0.0209900297358755,"GO:0048522","GO:BP","positive regulation of cellular process",21031,13230,"GO:0009987, GO:0048518, GO:0050794"
"query_1",TRUE,8.28439327104086e-09,965,252,40,0.158730158730159,0.0414507772020725,"GO:0045087","GO:BP","innate immune response",21031,11659,"GO:0006955, GO:0140546"
"query_1",TRUE,8.60832919760571e-09,5440,236,109,0.461864406779661,0.0200367647058824,"GO:0051171","GO:BP","regulation of nitrogen compound metabolic process",21031,13995,"GO:0006807, GO:0019222"
"query_1",TRUE,8.60832919760571e-09,5591,236,111,0.470338983050847,0.0198533357181184,"GO:0080090","GO:BP","regulation of primary metabolic process",21031,18320,"GO:0019222, GO:0044238"
"query_1",TRUE,9.11082022619152e-09,1724,252,55,0.218253968253968,0.0319025522041763,"GO:0044419","GO:BP","biological process involved in interspecies interaction between organisms",21031,11378,"GO:0008150"
"query_1",TRUE,1.28735492347263e-08,7158,252,137,0.543650793650794,0.0191394244202291,"GO:0019222","GO:BP","regulation of metabolic process",21031,5789,"GO:0008152, GO:0050789"
"query_1",TRUE,1.71298080848646e-08,1113,252,42,0.166666666666667,0.0377358490566038,"GO:0140546","GO:BP","defense response to symbiont",21031,20385,"GO:0098542"
"query_1",TRUE,1.72123910504559e-08,1988,252,59,0.234126984126984,0.0296780684104628,"GO:0006955","GO:BP","immune response",21031,2617,"GO:0002376, GO:0050896"
"query_1",TRUE,2.257551030523e-08,6631,252,129,0.511904761904762,0.0194540793243855,"GO:0060255","GO:BP","regulation of macromolecule metabolic process",21031,14938,"GO:0019222, GO:0043170"
"query_1",TRUE,2.41531484234055e-08,4063,236,88,0.372881355932203,0.0216588727541226,"GO:0019219","GO:BP","regulation of nucleobase-containing compound metabolic process",21031,5786,"GO:0006139, GO:0031323, GO:0051171, GO:0080090"
"query_1",TRUE,2.41531484234055e-08,11738,252,190,0.753968253968254,0.0161867439086727,"GO:0050794","GO:BP","regulation of cellular process",21031,13691,"GO:0009987, GO:0050789"
"query_1",TRUE,2.41531484234055e-08,2776,252,72,0.285714285714286,0.0259365994236311,"GO:0002376","GO:BP","immune system process",21031,913,"GO:0008150"
"query_1",TRUE,1.06375378769542e-07,3763,236,82,0.347457627118644,0.0217911241031092,"GO:0051252","GO:BP","regulation of RNA metabolic process",21031,14047,"GO:0016070, GO:0019219, GO:0060255"
"query_1",TRUE,1.44487217127717e-07,1220,252,42,0.166666666666667,0.0344262295081967,"GO:0098542","GO:BP","defense response to other organism",21031,19336,"GO:0006952, GO:0051707"
"query_1",TRUE,1.44487217127717e-07,1791,252,53,0.21031746031746,0.0295924064768286,"GO:0006952","GO:BP","defense response",21031,2614,"GO:0006950"
"query_1",TRUE,1.58874983903868e-07,1586,252,49,0.194444444444444,0.0308953341740227,"GO:0009607","GO:BP","response to biotic stimulus",21031,3572,"GO:0050896"
"query_1",TRUE,1.85632725859457e-07,12680,249,195,0.783132530120482,0.0153785488958991,"GO:0065007","GO:BP","biological regulation",21031,16384,"GO:0008150"
"query_1",TRUE,1.85632725859457e-07,1548,252,48,0.19047619047619,0.0310077519379845,"GO:0051707","GO:BP","response to other organism",21031,14359,"GO:0043207, GO:0044419"
"query_1",TRUE,1.85632725859457e-07,1512,249,47,0.188755020080321,0.0310846560846561,"GO:0002682","GO:BP","regulation of immune system process",21031,1207,"GO:0002376, GO:0050789"
"query_1",TRUE,1.87818593017627e-07,6673,252,126,0.5,0.018882062041061,"GO:0031323","GO:BP","regulation of cellular metabolic process",21031,7372,"GO:0019222, GO:0044237, GO:0050794"
"query_1",TRUE,1.87818593017627e-07,1551,252,48,0.19047619047619,0.0309477756286267,"GO:0043207","GO:BP","response to external biotic stimulus",21031,10929,"GO:0009605, GO:0009607"
"query_1",TRUE,2.94749805841189e-07,3939,252,87,0.345238095238095,0.0220868240670221,"GO:0048583","GO:BP","regulation of response to stimulus",21031,13279,"GO:0050789, GO:0050896"
"query_1",TRUE,3.18036527282703e-07,12287,249,190,0.763052208835341,0.0154634980060226,"GO:0050789","GO:BP","regulation of biological process",21031,13687,"GO:0008150, GO:0065007"
"query_1",TRUE,3.18036527282703e-07,415,236,22,0.0932203389830508,0.0530120481927711,"GO:0045088","GO:BP","regulation of innate immune response",21031,11660,"GO:0002831, GO:0031347, GO:0032101, GO:0045087, GO:0050776"
"query_1",TRUE,4.51058782114905e-07,881,244,33,0.135245901639344,0.0374574347332577,"GO:0050776","GO:BP","regulation of immune response",21031,13679,"GO:0002682, GO:0006955, GO:0048583"
"query_1",TRUE,5.21251951358222e-07,768,252,31,0.123015873015873,0.0403645833333333,"GO:0031347","GO:BP","regulation of defense response",21031,7395,"GO:0006952, GO:0080134"
"query_1",TRUE,8.63688448540246e-07,816,243,31,0.127572016460905,0.0379901960784314,"GO:0006325","GO:BP","chromatin organization",21031,2145,"GO:0071824"
"query_1",TRUE,8.77804608185777e-07,3711,252,82,0.325396825396825,0.0220964699541902,"GO:0009893","GO:BP","positive regulation of metabolic process",21031,3791,"GO:0008152, GO:0019222, GO:0048518"
"query_1",TRUE,8.92160298284639e-07,915,243,33,0.135802469135802,0.0360655737704918,"GO:0071824","GO:BP","protein-DNA complex organization",21031,17433,"GO:0043933"
"query_1",TRUE,9.90494663669183e-07,965,244,34,0.139344262295082,0.0352331606217617,"GO:0030097","GO:BP","hemopoiesis",21031,6912,"GO:0048468"
"query_1",TRUE,1.05093632686431e-06,5541,249,107,0.429718875502008,0.0193105937556398,"GO:0048523","GO:BP","negative regulation of cellular process",21031,13231,"GO:0009987, GO:0048519, GO:0050794"
"query_1",TRUE,1.11457029992066e-06,1340,252,42,0.166666666666667,0.0313432835820895,"GO:0080134","GO:BP","regulation of response to stress",21031,18338,"GO:0006950, GO:0048583"
"query_1",TRUE,1.20068015970024e-06,3420,252,77,0.305555555555556,0.0225146198830409,"GO:0010604","GO:BP","positive regulation of macromolecule metabolic process",21031,4301,"GO:0009893, GO:0043170, GO:0060255"
"query_1",TRUE,1.41088534426113e-06,5874,249,111,0.44578313253012,0.0188968335035751,"GO:0048519","GO:BP","negative regulation of biological process",21031,13227,"GO:0008150, GO:0050789"
"query_1",TRUE,1.4241102378119e-06,502,236,23,0.0974576271186441,0.0458167330677291,"GO:0002831","GO:BP","regulation of response to biotic stimulus",21031,1348,"GO:0009607, GO:0048583"
"query_1",TRUE,2.48396342732716e-06,4027,236,81,0.343220338983051,0.0201142289545567,"GO:0034654","GO:BP","nucleobase-containing compound biosynthetic process",21031,9009,"GO:0006139, GO:0018130, GO:0019438, GO:0044271, GO:1901362"
"query_1",TRUE,2.89240574451585e-06,5654,252,108,0.428571428571429,0.0191015210470463,"GO:0010556","GO:BP","regulation of macromolecule biosynthetic process",21031,4258,"GO:0009059, GO:0031326, GO:0060255"
"query_1",TRUE,3.37849999991296e-06,5526,252,106,0.420634920634921,0.0191820484980094,"GO:0010468","GO:BP","regulation of gene expression",21031,4208,"GO:0010467, GO:0010556"
"query_1",TRUE,3.63512392783662e-06,3569,236,74,0.313559322033898,0.0207340991874475,"GO:0006351","GO:BP","DNA-templated transcription",21031,2151,"GO:0010467, GO:0032774"
"query_1",TRUE,4.57291248845936e-06,5781,252,109,0.432539682539683,0.0188548693997578,"GO:0031326","GO:BP","regulation of cellular biosynthetic process",21031,7375,"GO:0009889, GO:0031323, GO:0044249"
"query_1",TRUE,5.04723010161113e-06,3601,236,74,0.313559322033898,0.0205498472646487,"GO:0032774","GO:BP","RNA biosynthetic process",21031,8092,"GO:0009059, GO:0016070, GO:0034654"
"query_1",TRUE,5.11294962672609e-06,4105,236,81,0.343220338983051,0.0197320341047503,"GO:0018130","GO:BP","heterocycle biosynthetic process",21031,5424,"GO:0044249, GO:0046483"
"query_1",TRUE,5.51054543453309e-06,664,243,26,0.106995884773663,0.0391566265060241,"GO:0006338","GO:BP","chromatin remodeling",21031,2149,"GO:0006325"
