"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,0.000260033201048458,6250,126,66,0.523809523809524,0.01056,"GO:0048518","GO:BP","positive regulation of biological process",21031,13226,"GO:0008150, GO:0050789"
"query_1",TRUE,0.000794438834891485,15,3,2,0.666666666666667,0.133333333333333,"GO:0150078","GO:BP","positive regulation of neuroinflammatory response",21031,20656,"GO:0050729, GO:0150076, GO:0150077"
"query_1",TRUE,0.000794438834891485,3711,124,44,0.354838709677419,0.0118566424144435,"GO:0009893","GO:BP","positive regulation of metabolic process",21031,3791,"GO:0008152, GO:0019222, GO:0048518"
"query_1",TRUE,0.000794438834891485,946,58,13,0.224137931034483,0.0137420718816068,"GO:0045321","GO:BP","leukocyte activation",21031,11749,"GO:0001775, GO:0002376"
"query_1",TRUE,0.000794438834891485,12287,53,47,0.886792452830189,0.00382518108570033,"GO:0050789","GO:BP","regulation of biological process",21031,13687,"GO:0008150, GO:0065007"
"query_1",TRUE,0.000794438834891485,12680,53,48,0.905660377358491,0.00378548895899054,"GO:0065007","GO:BP","biological regulation",21031,16384,"GO:0008150"
"query_1",TRUE,0.00109400430973621,533,122,14,0.114754098360656,0.026266416510319,"GO:0009896","GO:BP","positive regulation of catabolic process",21031,3794,"GO:0009056, GO:0009893, GO:0009894"
"query_1",TRUE,0.00109400430973621,3939,38,20,0.526315789473684,0.00507743082000508,"GO:0048583","GO:BP","regulation of response to stimulus",21031,13279,"GO:0050789, GO:0050896"
"query_1",TRUE,0.00112984305904041,238,10,4,0.4,0.0168067226890756,"GO:0002274","GO:BP","myeloid leukocyte activation",21031,813,"GO:0045321"
"query_1",TRUE,0.00150658569542587,74,70,5,0.0714285714285714,0.0675675675675676,"GO:0071677","GO:BP","positive regulation of mononuclear cell migration",21031,17352,"GO:0002687, GO:0071674, GO:0071675"
"query_1",TRUE,0.00150658569542587,17,46,3,0.0652173913043478,0.176470588235294,"GO:0002501","GO:BP","peptide antigen assembly with MHC protein complex",21031,1031,"GO:0002396, GO:0048002, GO:0065003"
"query_1",TRUE,0.00150658569542587,17,46,3,0.0652173913043478,0.176470588235294,"GO:0002396","GO:BP","MHC protein complex assembly",21031,927,"GO:0065003"
"query_1",TRUE,0.00150658569542587,98,8,3,0.375,0.0306122448979592,"GO:0002275","GO:BP","myeloid cell activation involved in immune response",21031,814,"GO:0002274, GO:0002366"
"query_1",TRUE,0.00150658569542587,1092,58,13,0.224137931034483,0.0119047619047619,"GO:0001775","GO:BP","cell activation",21031,445,"GO:0009987, GO:0032501"
"query_1",TRUE,0.00161889158296669,34,3,2,0.666666666666667,0.0588235294117647,"GO:0150077","GO:BP","regulation of neuroinflammatory response",21031,20655,"GO:0050727, GO:0150076"
"query_1",TRUE,0.00209977332952067,3010,32,15,0.46875,0.00498338870431894,"GO:0009966","GO:BP","regulation of signal transduction",21031,3842,"GO:0007165, GO:0010646, GO:0023051, GO:0048583"
"query_1",TRUE,0.00221505797799976,206,116,8,0.0689655172413793,0.0388349514563107,"GO:0045732","GO:BP","positive regulation of protein catabolic process",21031,11969,"GO:0009896, GO:0030163, GO:0042176, GO:0051247"
"query_1",TRUE,0.00221505797799976,53,3,2,0.666666666666667,0.0377358490566038,"GO:0050850","GO:BP","positive regulation of calcium-mediated signaling",21031,13733,"GO:0019722, GO:0050848, GO:1902533"
"query_1",TRUE,0.00221505797799976,49,3,2,0.666666666666667,0.0408163265306122,"GO:0036230","GO:BP","granulocyte activation",21031,9829,"GO:0002274"
"query_1",TRUE,0.00221505797799976,55,3,2,0.666666666666667,0.0363636363636364,"GO:0061900","GO:BP","glial cell activation",21031,16207,"GO:0001775, GO:0150076"
"query_1",TRUE,0.00221505797799976,354,10,4,0.4,0.0112994350282486,"GO:0002696","GO:BP","positive regulation of leukocyte activation",21031,1221,"GO:0002684, GO:0002694, GO:0045321, GO:0050867"
"query_1",TRUE,0.00221505797799976,55,3,2,0.666666666666667,0.0363636363636364,"GO:0043525","GO:BP","positive regulation of neuron apoptotic process",21031,11110,"GO:0043065, GO:0043523, GO:0051402"
"query_1",TRUE,0.00221505797799976,3420,124,39,0.314516129032258,0.0114035087719298,"GO:0010604","GO:BP","positive regulation of macromolecule metabolic process",21031,4301,"GO:0009893, GO:0043170, GO:0060255"
"query_1",TRUE,0.00221505797799976,109,10,3,0.3,0.0275229357798165,"GO:0030316","GO:BP","osteoclast differentiation",21031,7004,"GO:0002573"
"query_1",TRUE,0.00221505797799976,47,3,2,0.666666666666667,0.0425531914893617,"GO:0001774","GO:BP","microglial cell activation",21031,444,"GO:0002269, GO:0042116, GO:0061900"
"query_1",TRUE,0.00221505797799976,50,3,2,0.666666666666667,0.04,"GO:0002269","GO:BP","leukocyte activation involved in inflammatory response",21031,808,"GO:0006954, GO:0045321"
"query_1",TRUE,0.00221505797799976,276,12,4,0.333333333333333,0.0144927536231884,"GO:0051402","GO:BP","neuron apoptotic process",21031,14150,"GO:0006915"
"query_1",TRUE,0.00221505797799976,323,122,10,0.0819672131147541,0.0309597523219814,"GO:1902105","GO:BP","regulation of leukocyte differentiation",21031,22559,"GO:0002521, GO:1903706"
"query_1",TRUE,0.00221505797799976,371,10,4,0.4,0.0107816711590297,"GO:0050867","GO:BP","positive regulation of cell activation",21031,13750,"GO:0001775, GO:0048522, GO:0050865, GO:0051240"
"query_1",TRUE,0.00229543952289512,5959,42,25,0.595238095238095,0.00419533478771606,"GO:0007165","GO:BP","signal transduction",21031,2760,"GO:0007154, GO:0009987, GO:0023052, GO:0050794, GO:0051716"
"query_1",TRUE,0.00229543952289512,126,10,3,0.3,0.0238095238095238,"GO:0002761","GO:BP","regulation of myeloid leukocyte differentiation",21031,1279,"GO:0002573, GO:0045637, GO:1902105"
"query_1",TRUE,0.00229543952289512,5717,126,56,0.444444444444444,0.00979534721007521,"GO:0048522","GO:BP","positive regulation of cellular process",21031,13230,"GO:0009987, GO:0048518, GO:0050794"
"query_1",TRUE,0.00229543952289512,123,10,3,0.3,0.024390243902439,"GO:0071675","GO:BP","regulation of mononuclear cell migration",21031,17350,"GO:0002685, GO:0071674"
"query_1",TRUE,0.00229543952289512,60,3,2,0.666666666666667,0.0333333333333333,"GO:0032731","GO:BP","positive regulation of interleukin-1 beta production",21031,8052,"GO:0032611, GO:0032651, GO:0032732"
"query_1",TRUE,0.00232387930408941,1026,122,18,0.147540983606557,0.0175438596491228,"GO:0009894","GO:BP","regulation of catabolic process",21031,3792,"GO:0009056, GO:0019222"
"query_1",TRUE,0.00232387930408941,11738,53,44,0.830188679245283,0.00374850911569262,"GO:0050794","GO:BP","regulation of cellular process",21031,13691,"GO:0009987, GO:0050789"
"query_1",TRUE,0.00232387930408941,1338,122,21,0.172131147540984,0.015695067264574,"GO:0009057","GO:BP","macromolecule catabolic process",21031,3270,"GO:0043170, GO:1901575"
"query_1",TRUE,0.00232387930408941,739,123,15,0.121951219512195,0.020297699594046,"GO:0002250","GO:BP","adaptive immune response",21031,789,"GO:0006955"
"query_1",TRUE,0.00258683383576155,124,103,6,0.058252427184466,0.0483870967741935,"GO:0071346","GO:BP","cellular response to type II interferon",21031,17098,"GO:0034341, GO:0071345"
"query_1",TRUE,0.00258683383576155,968,119,17,0.142857142857143,0.0175619834710744,"GO:0030163","GO:BP","protein catabolic process",21031,6928,"GO:0009057, GO:0019538, GO:1901565"
"query_1",TRUE,0.00258683383576155,1766,32,11,0.34375,0.00622876557191393,"GO:1902531","GO:BP","regulation of intracellular signal transduction",21031,22895,"GO:0009966, GO:0035556"
"query_1",TRUE,0.00258683383576155,71,3,2,0.666666666666667,0.028169014084507,"GO:0032732","GO:BP","positive regulation of interleukin-1 production",21031,8053,"GO:0001819, GO:0032612, GO:0032652"
"query_1",TRUE,0.00258683383576155,72,3,2,0.666666666666667,0.0277777777777778,"GO:0045670","GO:BP","regulation of osteoclast differentiation",21031,11917,"GO:0002761, GO:0030316"
"query_1",TRUE,0.00272388423762083,838,11,5,0.454545454545455,0.00596658711217184,"GO:0022603","GO:BP","regulation of anatomical structure morphogenesis",21031,6848,"GO:0009653, GO:0050793"
"query_1",TRUE,0.00281070286324646,77,3,2,0.666666666666667,0.025974025974026,"GO:0150076","GO:BP","neuroinflammatory response",21031,20654,"GO:0006954"
"query_1",TRUE,0.00283474895069617,2776,123,33,0.268292682926829,0.0118876080691643,"GO:0002376","GO:BP","immune system process",21031,913,"GO:0008150"
"query_1",TRUE,0.00296565205707268,153,10,3,0.3,0.0196078431372549,"GO:0002687","GO:BP","positive regulation of leukocyte migration",21031,1212,"GO:0002684, GO:0002685, GO:0030335, GO:0050900"
"query_1",TRUE,0.00299027931170279,82,3,2,0.666666666666667,0.024390243902439,"GO:0019233","GO:BP","sensory perception of pain",21031,5797,"GO:0007600"
"query_1",TRUE,0.00305532022937866,1724,122,24,0.19672131147541,0.0139211136890951,"GO:0044419","GO:BP","biological process involved in interspecies interaction between organisms",21031,11378,"GO:0008150"
"query_1",TRUE,0.00312537418386303,506,71,9,0.126760563380282,0.0177865612648221,"GO:0007264","GO:BP","small GTPase-mediated signal transduction",21031,2825,"GO:0141124"
"query_1",TRUE,0.00312537418386303,783,58,10,0.172413793103448,0.0127713920817369,"GO:0046649","GO:BP","lymphocyte activation",21031,12692,"GO:0045321"
"query_1",TRUE,0.00320774601613492,3437,32,15,0.46875,0.00436427116671516,"GO:0023051","GO:BP","regulation of signaling",21031,6876,"GO:0023052, GO:0050789"
"query_1",TRUE,0.00320774601613492,270,52,6,0.115384615384615,0.0222222222222222,"GO:1903039","GO:BP","positive regulation of leukocyte cell-cell adhesion",21031,23293,"GO:0007159, GO:0022409, GO:1903037"
"query_1",TRUE,0.00321491998842935,3443,32,15,0.46875,0.00435666569851873,"GO:0010646","GO:BP","regulation of cell communication",21031,4342,"GO:0007154, GO:0050794"
"query_1",TRUE,0.00330054007502538,93,3,2,0.666666666666667,0.021505376344086,"GO:0032611","GO:BP","interleukin-1 beta production",21031,7935,"GO:0032612"
"query_1",TRUE,0.00330054007502538,93,3,2,0.666666666666667,0.021505376344086,"GO:0032651","GO:BP","regulation of interleukin-1 beta production",21031,7974,"GO:0032611, GO:0032652"
"query_1",TRUE,0.00331302260965781,94,3,2,0.666666666666667,0.0212765957446809,"GO:0050848","GO:BP","regulation of calcium-mediated signaling",21031,13731,"GO:0019722, GO:1902531"
"query_1",TRUE,0.00342549852273635,205,70,6,0.0857142857142857,0.0292682926829268,"GO:0071674","GO:BP","mononuclear cell migration",21031,17349,"GO:0050900"
"query_1",TRUE,0.00374883253289491,2668,32,13,0.40625,0.00487256371814093,"GO:0035556","GO:BP","intracellular signal transduction",21031,9405,"GO:0007165"
"query_1",TRUE,0.00374883253289491,1988,123,26,0.211382113821138,0.0130784708249497,"GO:0006955","GO:BP","immune response",21031,2617,"GO:0002376, GO:0050896"
"query_1",TRUE,0.00374883253289491,460,121,11,0.0909090909090909,0.0239130434782609,"GO:0002443","GO:BP","leukocyte mediated immunity",21031,973,"GO:0002252"
"query_1",TRUE,0.00381344581577656,561,4,3,0.75,0.0053475935828877,"GO:0002694","GO:BP","regulation of leukocyte activation",21031,1219,"GO:0002682, GO:0045321, GO:0050865"
"query_1",TRUE,0.00381351781877646,28,10,2,0.2,0.0714285714285714,"GO:0070168","GO:BP","negative regulation of biomineral tissue development",21031,16455,"GO:0031214, GO:0051093, GO:0070167"
"query_1",TRUE,0.00381351781877646,106,3,2,0.666666666666667,0.0188679245283019,"GO:0042116","GO:BP","macrophage activation",21031,10317,"GO:0002274"
"query_1",TRUE,0.00389966345181605,146,103,6,0.058252427184466,0.0410958904109589,"GO:0034341","GO:BP","response to type II interferon",21031,8870,"GO:0034097, GO:0045087"
"query_1",TRUE,0.00389966345181605,124,121,6,0.0495867768595041,0.0483870967741935,"GO:0002456","GO:BP","T cell mediated immunity",21031,986,"GO:0002449, GO:0002460"
"query_1",TRUE,0.00389966345181605,110,3,2,0.666666666666667,0.0181818181818182,"GO:0032612","GO:BP","interleukin-1 production",21031,7936,"GO:0001816"
"query_1",TRUE,0.00389966345181605,110,3,2,0.666666666666667,0.0181818181818182,"GO:0032652","GO:BP","regulation of interleukin-1 production",21031,7975,"GO:0001817, GO:0032612"
"query_1",TRUE,0.0039090333860188,31,10,2,0.2,0.0645161290322581,"GO:0097421","GO:BP","liver regeneration",21031,19195,"GO:0001889, GO:0031100"
"query_1",TRUE,0.0039090333860188,3001,124,34,0.274193548387097,0.0113295568143952,"GO:0051173","GO:BP","positive regulation of nitrogen compound metabolic process",21031,13997,"GO:0006807, GO:0009893, GO:0051171"
"query_1",TRUE,0.0039090333860188,1,2,1,0.5,1,"GO:0150127","GO:BP","regulation of interleukin-33 production",21031,20679,"GO:0001817, GO:0072639"
"query_1",TRUE,0.0039090333860188,1,2,1,0.5,1,"GO:0140460","GO:BP","response to Gram-negative bacterium",21031,20349,"GO:0009617"
"query_1",TRUE,0.0039090333860188,1,2,1,0.5,1,"GO:0045994","GO:BP","positive regulation of translational initiation by iron",21031,12184,"GO:0006447, GO:0045948"
"query_1",TRUE,0.0039090333860188,116,3,2,0.666666666666667,0.0172413793103448,"GO:0031644","GO:BP","regulation of nervous system process",21031,7516,"GO:0044057, GO:0050877"
"query_1",TRUE,0.0039090333860188,1,2,1,0.5,1,"GO:0061048","GO:BP","negative regulation of branching involved in lung morphogenesis",21031,15643,"GO:0051241, GO:0060441, GO:0061046, GO:1905331"
"query_1",TRUE,0.0039090333860188,1,2,1,0.5,1,"GO:0072639","GO:BP","interleukin-33 production",21031,17988,"GO:0001816"
"query_1",TRUE,0.0039090333860188,1,2,1,0.5,1,"GO:0120190","GO:BP","negative regulation of bile acid secretion",21031,20117,"GO:0032782, GO:0032891, GO:0051048, GO:0120188"
"query_1",TRUE,0.0039090333860188,1,2,1,0.5,1,"GO:0150129","GO:BP","positive regulation of interleukin-33 production",21031,20681,"GO:0001819, GO:0072639, GO:0150127"
"query_1",TRUE,0.00393230715607137,4,87,2,0.0229885057471264,0.5,"GO:0010836","GO:BP","negative regulation of protein ADP-ribosylation",21031,4500,"GO:0010835, GO:0051348"
"query_1",TRUE,0.00393230715607137,616,4,3,0.75,0.00487012987012987,"GO:0050865","GO:BP","regulation of cell activation",21031,13748,"GO:0001775, GO:0050794, GO:0051239"
"query_1",TRUE,0.00393230715607137,260,8,3,0.375,0.0115384615384615,"GO:0097305","GO:BP","response to alcohol",21031,19125,"GO:0010033, GO:1901700"
"query_1",TRUE,0.00393230715607137,6447,42,25,0.595238095238095,0.0038777726074143,"GO:0023052","GO:BP","signaling",21031,6877,"GO:0050789"
"query_1",TRUE,0.00394142484613476,20,97,3,0.0309278350515464,0.15,"GO:0099515","GO:BP","actin filament-based transport",21031,19656,"GO:0030705"
"query_1",TRUE,0.00413371828441713,208,10,3,0.3,0.0144230769230769,"GO:0009746","GO:BP","response to hexose",21031,3681,"GO:0034284"
"query_1",TRUE,0.00435718883617714,115,46,4,0.0869565217391304,0.0347826086956522,"GO:0019882","GO:BP","antigen processing and presentation",21031,6282,"GO:0002376"
"query_1",TRUE,0.00439797755246298,232,2,2,1,0.00862068965517241,"GO:0045930","GO:BP","negative regulation of mitotic cell cycle",21031,12122,"GO:0000278, GO:0007346, GO:0045786"
"query_1",TRUE,0.00439797755246298,215,10,3,0.3,0.013953488372093,"GO:0045637","GO:BP","regulation of myeloid cell differentiation",21031,11884,"GO:0030099, GO:1903706"
"query_1",TRUE,0.00439797755246298,215,10,3,0.3,0.013953488372093,"GO:0034284","GO:BP","response to monosaccharide",21031,8832,"GO:0009743"
"query_1",TRUE,0.00458760427423685,318,52,6,0.115384615384615,0.0188679245283019,"GO:0022409","GO:BP","positive regulation of cell-cell adhesion",21031,6837,"GO:0022407, GO:0045785, GO:0098609"
"query_1",TRUE,0.00458760427423685,6537,42,25,0.595238095238095,0.00382438427413186,"GO:0007154","GO:BP","cell communication",21031,2749,"GO:0009987"
"query_1",TRUE,0.00466097099222672,141,3,2,0.666666666666667,0.0141843971631206,"GO:0050729","GO:BP","positive regulation of inflammatory response",21031,13657,"GO:0006954, GO:0031349, GO:0032103, GO:0050727"
"query_1",TRUE,0.00466097099222672,555,58,8,0.137931034482759,0.0144144144144144,"GO:0042110","GO:BP","T cell activation",21031,10315,"GO:0046649"
"query_1",TRUE,0.00477125165225483,42,9,2,0.222222222222222,0.0476190476190476,"GO:0030866","GO:BP","cortical actin cytoskeleton organization",21031,7184,"GO:0030036, GO:0030865"
"query_1",TRUE,0.00478322635219754,39,10,2,0.2,0.0512820512820513,"GO:0030279","GO:BP","negative regulation of ossification",21031,6993,"GO:0001503, GO:0030278, GO:0051241"
"query_1",TRUE,0.00478322635219754,2274,21,9,0.428571428571429,0.00395778364116095,"GO:0048584","GO:BP","positive regulation of response to stimulus",21031,13280,"GO:0048518, GO:0048583, GO:0050896"
"query_1",TRUE,0.00478322635219754,31,70,3,0.0428571428571429,0.0967741935483871,"GO:0072677","GO:BP","eosinophil migration",21031,18013,"GO:0097530"
"query_1",TRUE,0.00478322635219754,2,2,1,0.5,0.5,"GO:0032644","GO:BP","regulation of fractalkine production",21031,7967,"GO:0032603, GO:0032642"
